PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
ms-learn,463d1827-e13c-4fb1-9cdb-28dfc038b96c,MS Learn,Add decision logic to your code using the if-elseif-else statement in C#,Learn to branch your code's execution path by evaluating boolean expressions.,,beginner,developer,dotnet,33,3350,4.85,https://docs.microsoft.com/en-us/learn/modules/csharp-if-elseif-else/?WT.mc_id=api_CatalogApi
ms-learn,0ebc3822-606b-4c63-a917-3cd3d28b8d63,MS Learn,Add decision logic to your code using the if-elseif-else statement in C#,Learn to branch your code's execution path by evaluating boolean expressions.,,beginner,student,dotnet,33,3350,4.85,https://docs.microsoft.com/en-us/learn/modules/csharp-if-elseif-else/?WT.mc_id=api_CatalogApi
ms-learn,148a6dce-b808-49a8-91eb-b42fceb45e56,MS Learn,Configure your Windows app to use Narrator and speech recognition,"In this module, we show you how to use Narrator and custom voice input controls to make your app inclusive to visually impaired users.",,intermediate,developer,windows,75,96,4.61,https://docs.microsoft.com/en-us/learn/modules/narrator-and-voice-input/?WT.mc_id=api_CatalogApi
ms-learn,6bd67e78-ace0-47ac-bf35-e08d41325058,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,administrator,azure,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,cbff37c1-4382-41af-b4fb-0a88a111c2f0,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,administrator,azure-cloud-shell,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,27fcd609-86a9-4b28-ac4d-8682978f7add,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,administrator,azure-monitor,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,07d95292-464e-4d85-9583-4ccc58052137,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,administrator,azure-portal,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,f622f139-abdc-47d8-9c37-c253aa7299df,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,administrator,azure-virtual-machines,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,f875ce47-ef6b-4304-a3ee-726e010dd12d,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,solution-architect,azure,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,1752534c-7710-460a-a913-f26def5a16b0,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,solution-architect,azure-cloud-shell,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,6958d51e-779f-4302-89ec-19e4f26ddd68,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,solution-architect,azure-monitor,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,03657a37-37dc-4f6b-a920-961beeb3d37d,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,solution-architect,azure-portal,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,36a04655-0aae-447f-9aae-3281599bcc14,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,solution-architect,azure-virtual-machines,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,bf558589-ff79-4da3-bbf3-d9a2c4528247,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,technology-manager,azure,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
ms-learn,45e6d589-3264-4149-b0e7-a500c432eeb0,MS Learn,Monitor Windows Server IaaS Virtual Machines and hybrid instances,"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",,intermediate,technology-manager,azure-cloud-shell,46,51,4.45,https://docs.microsoft.com/en-us/learn/modules/monitor-windows-server-iaas-virtual-machines-hybrid-instances/?WT.mc_id=api_CatalogApi
